# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
8,Flop,0,8,-8,CHECK,0,"['5h', '6s']","['6h', '7d']","['8h', '4h', '3d']",,,100,100
8,Flop,1,8,-8,CHECK,0,"['5h', '6s']","['6h', '7d']","['8h', '4h', '3d']",,,100,100
8,Turn,0,8,-8,CHECK,0,"['5h', '6s']","['6h', '7d']","['8h', '4h', '3d', '2h']",,,100,100
8,Turn,1,8,-8,CHECK,0,"['5h', '6s']","['6h', '7d']","['8h', '4h', '3d', '2h']",,,100,100
8,River,0,8,-8,CHECK,0,"['5h', '6s']","['6h', '7d']","['8h', '4h', '3d', '2h', '3h']",,,100,100
8,River,1,8,-8,CHECK,0,"['5h', '6s']","['6h', '7d']","['8h', '4h', '3d', '2h', '3h']",,,100,100
9,Pre-Flop,1,-92,92,CALL,0,"['3d', '2h']","['3h', '7h']","['9d', '6h']",,,1,1
9,Pre-Flop,0,-92,92,RAISE,98,"['3d', '2h']","['3h', '7h']","['9d', '6h']",,,2,2
9,Pre-Flop,1,-92,92,DISCARD,0,"['3d', '2h']","['3h', '7h']","['9d', '6h']",,,2,2
9,Pre-Flop,1,-92,92,CALL,0,"['3d', '2h']","['Ad', '7h']","['9d', '6h']",,3h,2,2
9,Flop,1,-92,92,CHECK,0,"['3d', '2h']","['Ad', '7h']","['9d', '6h', '8d']",,3h,100,100
9,Flop,0,-92,92,CHECK,0,"['3d', '2h']","['Ad', '7h']","['9d', '6h', '8d']",,3h,100,100
9,Turn,1,-92,92,CHECK,0,"['3d', '2h']","['Ad', '7h']","['9d', '6h', '8d', '8s']",,3h,100,100
9,Turn,0,-92,92,CHECK,0,"['3d', '2h']","['Ad', '7h']","['9d', '6h', '8d', '8s']",,3h,100,100
9,River,1,-92,92,CHECK,0,"['3d', '2h']","['Ad', '7h']","['9d', '6h', '8d', '8s', '2s']",,3h,100,100
9,River,0,-92,92,CHECK,0,"['3d', '2h']","['Ad', '7h']","['9d', '6h', '8d', '8s', '2s']",,3h,100,100
10,Pre-Flop,0,-192,192,RAISE,98,"['2s', 'Ah']","['4d', '6s']","['As', '9d']",,,1,1
10,Pre-Flop,1,-192,192,DISCARD,0,"['2s', 'Ah']","['4d', '6s']","['As', '9d']",,,2,2
10,Pre-Flop,1,-192,192,FOLD,0,"['2s', 'Ah']","['4h', '6s']","['As', '9d']",,4d,2,2
11,Pre-Flop,1,-190,190,CALL,0,"['6d', '3d']","['2d', 'As']","['8h', '3h']",,,1,1
11,Pre-Flop,0,-190,190,RAISE,98,"['6d', '3d']","['2d', 'As']","['8h', '3h']",,,2,2
11,Pre-Flop,1,-190,190,DISCARD,0,"['6d', '3d']","['2d', 'As']","['8h', '3h']",,,2,2
11,Pre-Flop,1,-190,190,FOLD,0,"['6d', '3d']","['2d', '4h']","['8h', '3h']",,As,2,2
12,Pre-Flop,0,-188,188,RAISE,98,"['3s', '2s']","['As', '5s']","['9d', '4d']",,,1,1
12,Pre-Flop,1,-188,188,CALL,0,"['3s', '2s']","['As', '5s']","['9d', '4d']",,,2,2
12,Flop,0,-188,188,CHECK,0,"['3s', '2s']","['As', '5s']","['9d', '4d', '2h']",,,100,100
12,Flop,1,-188,188,CHECK,0,"['3s', '2s']","['As', '5s']","['9d', '4d', '2h']",,,100,100
12,Turn,0,-188,188,CHECK,0,"['3s', '2s']","['As', '5s']","['9d', '4d', '2h', 'Ad']",,,100,100
12,Turn,1,-188,188,CHECK,0,"['3s', '2s']","['As', '5s']","['9d', '4d', '2h', 'Ad']",,,100,100
12,River,0,-188,188,CHECK,0,"['3s', '2s']","['As', '5s']","['9d', '4d', '2h', 'Ad', '6d']",,,100,100
12,River,1,-188,188,CHECK,0,"['3s', '2s']","['As', '5s']","['9d', '4d', '2h', 'Ad', '6d']",,,100,100
13,Pre-Flop,1,-288,288,CALL,0,"['4h', '8h']","['9s', 'As']","['4d', '9d']",,,1,1
13,Pre-Flop,0,-288,288,RAISE,98,"['4h', '8h']","['9s', 'As']","['4d', '9d']",,,2,2
13,Pre-Flop,1,-288,288,CALL,0,"['4h', '8h']","['9s', 'As']","['4d', '9d']",,,2,2
13,Flop,1,-288,288,CHECK,0,"['4h', '8h']","['9s', 'As']","['4d', '9d', '9h']",,,100,100
13,Flop,0,-288,288,CHECK,0,"['4h', '8h']","['9s', 'As']","['4d', '9d', '9h']",,,100,100
13,Turn,1,-288,288,CHECK,0,"['4h', '8h']","['9s', 'As']","['4d', '9d', '9h', '8s']",,,100,100
13,Turn,0,-288,288,CHECK,0,"['4h', '8h']","['9s', 'As']","['4d', '9d', '9h', '8s']",,,100,100
13,River,1,-288,288,CHECK,0,"['4h', '8h']","['9s', 'As']","['4d', '9d', '9h', '8s', '7h']",,,100,100
13,River,0,-288,288,CHECK,0,"['4h', '8h']","['9s', 'As']","['4d', '9d', '9h', '8s', '7h']",,,100,100
14,Pre-Flop,0,-388,388,RAISE,98,"['4h', '9s']","['6s', '4d']","['6h', '9d']",,,1,1
14,Pre-Flop,1,-388,388,DISCARD,0,"['4h', '9s']","['6s', '4d']","['6h', '9d']",,,2,2
